Simulation Summary (100 Games)

P1 Wins: 23
P2 Wins: 77
Draws: 0

Game,Winner,Turns,P1_Walls_Left,P2_Walls_Left
1,P2 (Wall Conserv),32,0,8
2,P2 (Wall Conserv),46,0,0
3,P2 (Wall Conserv),42,0,8
4,P1 (Distance Only),57,0,4
5,P2 (Wall Conserv),46,0,2
6,P2 (Wall Conserv),58,0,2
7,P2 (Wall Conserv),68,0,0
8,P2 (Wall Conserv),42,0,1
9,P1 (Distance Only),61,0,0
10,P1 (Distance Only),49,1,0
11,P1 (Distance Only),47,0,3
12,P2 (Wall Conserv),52,0,2
13,P2 (Wall Conserv),48,0,2
14,P2 (Wall Conserv),42,0,4
15,P2 (Wall Conserv),52,0,4
16,P2 (Wall Conserv),72,0,0
17,P2 (Wall Conserv),64,0,2
18,P2 (Wall Conserv),42,0,5
19,P1 (Distance Only),47,0,6
20,P1 (Distance Only),59,0,0
21,P2 (Wall Conserv),56,0,3
22,P2 (Wall Conserv),44,0,6
23,P2 (Wall Conserv),62,0,2
24,P2 (Wall Conserv),46,0,1
25,P2 (Wall Conserv),60,0,0
26,P2 (Wall Conserv),54,0,4
27,P2 (Wall Conserv),50,0,6
28,P2 (Wall Conserv),58,0,0
29,P2 (Wall Conserv),56,0,2
30,P2 (Wall Conserv),48,0,4
31,P1 (Distance Only),55,0,3
32,P2 (Wall Conserv),46,0,3
33,P2 (Wall Conserv),50,0,1
34,P2 (Wall Conserv),46,0,4
35,P2 (Wall Conserv),72,0,0
36,P1 (Distance Only),49,0,4
37,P2 (Wall Conserv),50,0,1
38,P2 (Wall Conserv),50,0,0
39,P2 (Wall Conserv),56,0,0
40,P2 (Wall Conserv),42,0,1
41,P2 (Wall Conserv),50,1,3
42,P2 (Wall Conserv),62,0,1
43,P2 (Wall Conserv),44,0,6
44,P2 (Wall Conserv),58,0,0
45,P2 (Wall Conserv),50,0,3
46,P2 (Wall Conserv),52,0,1
47,P2 (Wall Conserv),44,0,3
48,P2 (Wall Conserv),36,0,3
49,P2 (Wall Conserv),48,0,6
50,P1 (Distance Only),47,0,5
51,P1 (Distance Only),45,0,6
52,P1 (Distance Only),41,0,7
53,P1 (Distance Only),55,0,0
54,P1 (Distance Only),59,2,0
55,P2 (Wall Conserv),46,0,1
56,P2 (Wall Conserv),54,0,0
57,P2 (Wall Conserv),68,0,1
58,P2 (Wall Conserv),50,0,8
59,P1 (Distance Only),47,1,4
60,P2 (Wall Conserv),66,0,0
61,P2 (Wall Conserv),56,0,2
62,P2 (Wall Conserv),50,0,3
63,P2 (Wall Conserv),56,0,0
64,P1 (Distance Only),39,0,7
65,P1 (Distance Only),55,0,4
66,P1 (Distance Only),55,0,3
67,P2 (Wall Conserv),50,0,5
68,P2 (Wall Conserv),42,0,7
69,P2 (Wall Conserv),54,0,1
70,P2 (Wall Conserv),52,0,1
71,P2 (Wall Conserv),56,0,2
72,P2 (Wall Conserv),50,0,4
73,P1 (Distance Only),39,0,8
74,P2 (Wall Conserv),54,0,3
75,P1 (Distance Only),55,0,0
76,P2 (Wall Conserv),44,0,4
77,P2 (Wall Conserv),48,0,4
78,P2 (Wall Conserv),46,0,0
79,P2 (Wall Conserv),38,0,7
80,P1 (Distance Only),51,0,5
81,P2 (Wall Conserv),40,0,7
82,P1 (Distance Only),63,0,0
83,P2 (Wall Conserv),52,0,0
84,P2 (Wall Conserv),56,0,1
85,P2 (Wall Conserv),50,0,7
86,P2 (Wall Conserv),52,0,3
87,P2 (Wall Conserv),44,0,6
88,P2 (Wall Conserv),52,0,1
89,P1 (Distance Only),47,0,5
90,P2 (Wall Conserv),54,0,1
91,P2 (Wall Conserv),52,0,0
92,P2 (Wall Conserv),44,0,4
93,P2 (Wall Conserv),46,0,3
94,P2 (Wall Conserv),50,0,5
95,P2 (Wall Conserv),52,0,1
96,P1 (Distance Only),39,0,8
97,P2 (Wall Conserv),54,0,3
98,P2 (Wall Conserv),62,0,0
99,P2 (Wall Conserv),52,0,2
100,P2 (Wall Conserv),56,0,3
